Symbol,Price_Increase_Percentage,Screeners,IBD_RSI,RSI_12M,Nr_Of_Spikes,Volume-Acceleration(%),RSI_3M,RSI_6M,MVP_Last_6Mo,Price_Tightness_1W
AXAHY,55.47680412371135,6,85,93.87129724208374,,51.41,93.87129724208374,93.87129724208374,,2.8950415833245606
SGI,55.12877442273536,6,82,88.06584362139917,,99.97,75.78947368421052,88.06584362139917,,5.422408627920918
KT,54.80916030534353,6,84,93.61702127659564,,52.07,93.61702127659564,93.61702127659564,,4.05885337392187
MYFW,52.574002574002584,6,77,89.06976744186042,,101.13,81.48734177215188,88.12095032397401,,11.303247574862924
DBSDY,52.4600438733939,5,79,96.79658302189004,,,96.79658302189004,96.79658302189004,,4.212765957446807
TW,51.09373453429674,5,81,94.11764705882345,,,94.11764705882345,94.11764705882345,,4.172836182527942
CLBR,50.73891625615764,7,91,98.6577181208054,1,335.34,95.83333333333336,95.83333333333336,,15.032679738562097
TELNY,49.38388625592416,5,86,91.12426035502958,,,81.43322475570032,91.12426035502958,,4.18781725888325
PCLB,49.31751509922348,5,83,100.0,,,100.0,100.0,,1.184628720023105
DMYY,48.07692307692307,7,88,100.0,2,363.98,89.15662650602417,100.0,,16.493506493506498
KBCSY,47.75251967924667,5,86,84.05197873597163,,,79.48523845571536,84.05197873597163,,3.963353913563039
IBDRY,47.63973928500888,5,88,98.48812095032397,,,84.13284132841324,84.13284132841324,,3.6254180602006607
AAMI,46.946386946386944,5,84,85.35714285714286,,,85.35714285714286,85.35714285714286,,4.9524434240734605
AMADY,46.92147186433941,6,82,88.29663962920029,1,,82.52427184466035,82.52427184466035,,3.8671411625148173
DNKEY,46.63408131526328,8,85,92.5806451612903,1,99.34,86.87350835322194,86.87350835322194,1,4.414141414141426
BKSC,46.2121212121212,5,77,85.27131782945739,,,85.27131782945739,85.27131782945739,,3.655172413793099
DANOY,45.74649050371594,6,86,98.23008849557526,,82.59,85.9315589353612,88.7218045112783,,1.887888469358114
ADRNY,45.645543883429326,5,85,92.34693877551027,,,92.34693877551027,92.34693877551027,,2.47557003257329
SWDBY,45.002672367717786,6,85,87.16216216216228,1,,87.05882352941177,87.05882352941177,,3.335790637670467
NRDBY,44.367530412326076,7,81,98.61751152073735,,98.91,98.61751152073735,98.61751152073735,1,3.1165311653116468
GTPS,43.894218304381646,5,84,100.0,,,100.0,100.0,,0.0
LSBK,43.64406779661015,7,79,81.74807197943443,1,96.06,76.07361963190182,81.74807197943443,,3.8681039949270732
KRYAY,42.48200984724152,5,78,82.14990138067058,,,68.59446196985623,77.2678762006403,,3.5467980295566575
ADP,41.8212478920742,5,78,92.386685552408,,,92.386685552408,92.386685552408,,3.15253513826642
ALCO,40.82644628099173,5,80,81.14374034003096,,,79.16666666666663,79.16666666666663,,3.827006845052895
FHI,40.58898847631243,5,80,94.42934782608691,,,94.42934782608691,94.42934782608691,,2.66044340723454
HCMLY,40.490081680280035,6,79,93.11224489795912,,64.21,86.97674418604662,86.97674418604662,,6.234309623430956
SOBKY,39.89637305699481,5,81,90.3954802259887,,,79.50530035335689,86.1313868613138,,7.244055763277192
CICHY,39.35532233883058,5,78,90.17857142857143,,,89.58333333333329,89.58333333333329,,5.196241017136546
EADSY,39.29618768328445,6,77,89.10256410256409,,60.03,80.39430449069005,83.57142857142863,,5.74121679520137
SLF,39.258780435251026,5,81,96.00967351874246,,,89.06752411575563,89.06752411575563,,2.8469750889679664
CTAS,38.31322379191172,5,78,94.8640483383686,,,82.17332734620567,82.17332734620567,,3.464539163397547
LNSTY,37.482806052269595,5,79,88.02017654476681,,,81.58458244111351,81.58458244111351,,3.8769384692346107
BAP,37.4763489267306,5,81,88.86332259549026,,,87.28789186079956,87.28789186079956,,5.692145795465419
TR,33.08439133681852,5,83,87.75510204081633,,,74.18772563176896,74.18772563176896,,7.407407407407408
TLGYF,32.3918799646955,5,89,100.0,,,100.0,100.0,,0.0
