Symbol,RSI
TEM,72.37765581443529
TENX,71.1713050769331
TFLO,88.68214780270974
TGAA,81.29506944595016
TGI,87.70712814550254
THFF,72.04605844147008
THRY,75.97331229828424
THTA,71.85209736076348
TKO,78.07823053056866
TLGY,99.62045208307237
TMCWW,70.62655150257125
TMUS,73.66192803438956
TOAK,93.05019556871822
TPB,71.01928730207466
TPR,70.1600062407694
TRI,74.86100970904704
TRIN,81.14599535222963
TRIP,71.95630745020877
TRNO,70.87301822602097
TRVG,85.14663592499896
TTWO,71.96106153172312
TUYA,81.98144497792391
TWLO,74.97638504008326
TWO,71.07867153031583
UGI,70.81518989876113
UGL,70.32164480105646
USAC,72.19370475057164
USAU,70.14485942997564
USDX,78.10205458958674
USFR,96.84067284155242
USG,71.90812732952982
UTI,70.52677998070007
UYLD,75.15909495588787
V,76.96719453436279
VCSA,73.32236408870708
VCV,72.43946976184058
VGI,71.13641684827692
VIAV,70.71612816054363
VIK,72.04159649183129
VNET,80.25184888971104
VNLA,78.76804066416793
